[00:00:00] , "Team 2" , "5" , "McCree" , "EV_PlayerJoinedMatch" , "McCree" , ""
[00:00:00] , "Team 2" , "4" , "Mei" , "EV_PlayerJoinedMatch" , "Mei" , ""
[00:00:00] , "Team 2" , "3" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:00] , "Team 2" , "2" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:00] , "Team 2" , "1" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:00] , "Team 2" , "0" , "Ana" , "EV_PlayerJoinedMatch" , "Ana" , ""
[00:00:00] , "Team 1" , "5" , "Mei" , "EV_PlayerJoinedMatch" , "Mei" , ""
[00:00:00] , "Team 1" , "4" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:00] , "Team 1" , "3" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:00] , "Team 1" , "2" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:00] , "Team 1" , "1" , "Ana" , "EV_PlayerJoinedMatch" , "Ana" , ""
[00:00:00] , "Team 2" , "5" , "McCree" , "EV_SwitchedHero" , "McCree" , ""
[00:00:00] , "Team 2" , "4" , "Mei" , "EV_SwitchedHero" , "Mei" , ""
[00:00:00] , "Team 2" , "3" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:00] , "Team 2" , "2" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:00] , "Team 2" , "1" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:00] , "Team 2" , "1" , "Lúcio" , "EV_UsedAbility_1" , "Lúcio" , ""
[00:00:00] , "Team 2" , "0" , "Ana" , "EV_SwitchedHero" , "Ana" , ""
[00:00:00] , "Team 1" , "5" , "Mei" , "EV_SwitchedHero" , "Mei" , ""
[00:00:00] , "Team 1" , "4" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:00] , "Team 1" , "3" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:00] , "Team 1" , "2" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:00] , "Team 1" , "2" , "Lúcio" , "EV_UsedAbility_1" , "Lúcio" , ""
[00:00:00] , "Team 1" , "1" , "Ana" , "EV_SwitchedHero" , "Ana" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_PlayerJoinedMatch" , "NELS" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_LoadMap" , "King's Row" , ""
[00:00:02] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:02] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:02] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:02] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:02] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:02] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:02] , "Team 1" , "5" , "Mei" , "EV_PlayerPosition" , "(-102.80, -3.50, -55.96)" , ""
[00:00:02] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(-104.74, -3.50, -55.28)" , ""
[00:00:02] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(-101.78, -3.50, -56.06)" , ""
[00:00:02] , "Team 1" , "2" , "Lúcio" , "EV_PlayerPosition" , "(-105.55, -3.50, -54.59)" , ""
[00:00:02] , "Team 1" , "1" , "Ana" , "EV_PlayerPosition" , "(-105.85, -3.50, -53.28)" , ""
[00:00:03] , "Team 1" , "2" , "Lúcio" , "EV_UsedAbility_2" , "Lúcio" , ""
[00:00:04] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:04] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:04] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:04] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
